Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-10-20 00:04:00,377977.5666666668,397099.70553837216,-19122.13887170533,-22920.21450392209,3798.0756322167545,20221020,0,0,382782.34,382782.34,382782.34
289,2022-10-20 00:09:00,365799.7533333332,388363.1845550599,-22563.4312217267,-22520.48276213778,-42.94845958891892,20221020,1,0,373434.8,371673.2,372554.0
290,2022-10-20 00:14:00,357341.35,379625.2213174818,-22283.8713174818,-24329.271829193927,2045.4005117121303,20221020,2,0,363345.78,361710.12,362343.84
291,2022-10-20 00:19:00,340395.6433333334,370893.4556277977,-30497.812294464267,-27209.928995929527,-3287.88329853474,20221020,3,0,352435.78,350334.6,350856.97
292,2022-10-20 00:24:00,332820.65999999986,362175.5459632979,-29354.88596329803,-29413.845265508517,58.95930221048184,20221020,4,0,343054.44,337019.38,340503.72
293,2022-10-20 00:29:00,323681.84333333327,353479.18944264826,-29797.346109315,-30040.78786965283,243.44176033783515,20221020,5,0,333139.72,326811.03,331016.97
294,2022-10-20 00:34:00,315864.05,344812.1412784499,-28948.091278449923,-29436.15233030941,488.0610518594876,20221020,6,0,322817.62,319952.34,322647.6
295,2022-10-20 00:39:00,307586.30666666664,336182.23350418,-28595.92683751334,-28498.317274274825,-97.60956323851497,20221020,7,0,314206.22,311999.94,314937.94
296,2022-10-20 00:44:00,300282.3366666666,327597.39258240355,-27315.055915736943,-27812.057985933865,497.0020701969224,20221020,8,0,307128.94,303356.5,307136.62
297,2022-10-20 00:49:00,292453.28,319065.6556804214,-26612.375680421363,-27249.889698812185,637.5140183908225,20221020,9,0,299084.56,296623.75,299594.56
298,2022-10-20 00:54:00,283597.93,310595.1853299574,-26997.255329957407,-26217.43416012239,-779.8211698350169,20221020,10,0,290858.06,290204.78,292275.03
299,2022-10-20 00:59:00,274814.16,302194.2821508936,-27380.12215089361,-24400.71516946871,-2979.406981424905,20221020,11,0,280611.2,282750.5,285289.28
300,2022-10-20 01:04:00,275212.5166666667,293871.3955719641,-18658.878905297373,-22297.628381758543,3638.749476461169,20221020,12,0,280256.28,278373.44,281572.75
301,2022-10-20 01:09:00,264774.29333333333,285635.132080102,-20860.83874676865,-20783.282426954127,-77.55631981452825,20221020,13,0,273482.94,270945.53,273910.0
302,2022-10-20 01:14:00,256587.9633333333,277494.2610422684,-20906.297708935133,-20172.323704956398,-733.9740039787393,20221020,14,0,265727.75,262993.06,265392.6
303,2022-10-20 01:19:00,249672.07,269457.71775757684,-19785.64775757684,-19972.44950391392,186.8017463370852,20221020,15,0,259107.58,253400.39,256721.44
304,2022-10-20 01:24:00,240896.85666666663,261534.60368058493,-20637.7470139183,-19502.737549885576,-1135.0094640327225,20221020,16,0,250177.17,244977.16,248323.61
305,2022-10-20 01:29:00,236373.4700000001,253734.18366703327,-17360.713667033182,-18517.879260383143,1157.1655933499642,20221020,17,0,240843.97,236380.12,240326.5
306,2022-10-20 01:34:00,228114.44,246065.88012181863,-17951.440121818625,-17282.361494080844,-669.0786277377811,20221020,18,0,233162.22,228285.47,232481.89
307,2022-10-20 01:39:00,222575.2166666667,238539.26407130025,-15964.047404633544,-16246.3425159259,282.2951112923547,20221020,19,0,225030.78,222812.62,225407.7
308,2022-10-20 01:44:00,215718.2333333333,231164.04295842795,-15445.80962509464,-15661.463191841212,215.65356674657232,20221020,20,0,218947.4,215876.34,218723.27
309,2022-10-20 01:49:00,209459.74666666664,223950.0453834288,-14490.298716762132,-15334.633715895889,844.3349991337564,20221020,21,0,211275.33,210302.94,212295.3
310,2022-10-20 01:54:00,201233.0633333333,216907.20257929343,-15674.139245960134,-14705.905010297449,-968.2342356626868,20221020,22,0,206836.08,204504.39,206050.0
311,2022-10-20 01:59:00,194960.9466666667,210045.52683668857,-15084.580170021858,-13325.862100754484,-1758.7180692673755,20221020,23,0,200176.73,198778.8,200171.64
312,2022-10-20 02:04:00,194684.35333333336,203375.08687293093,-8690.733539597568,-11283.504319746522,2592.770780148954,20221020,24,0,198323.67,193898.23,195946.86
313,2022-10-20 02:09:00,187642.6666666668,196905.9803344549,-9263.313667788054,-9035.018674002053,-228.2949937860012,20221020,25,0,190331.11,187659.22,189817.19
314,2022-10-20 02:14:00,182479.15666666668,190648.30348233157,-8169.1468156648625,-6931.360395710833,-1237.78641995403,20221020,26,0,185705.61,181127.88,183830.38
315,2022-10-20 02:19:00,179715.33666666667,184612.1182966302,-4896.781629963516,-5111.505900904809,214.72427094129307,20221020,27,0,179797.81,176916.44,178469.77
316,2022-10-20 02:24:00,176147.1233333333,178807.4171732735,-2660.293839940219,-3636.5549943576298,976.2611544174106,20221020,28,0,175233.89,172303.5,173665.95
317,2022-10-20 02:29:00,170850.1933333333,173244.0853919985,-2393.892058665195,-2428.684048030244,34.791989365049176,20221020,29,0,170255.16,167883.6,169406.31
318,2022-10-20 02:34:00,165229.01666666666,167931.86171311373,-2702.845046447066,-1222.0458457653176,-1480.7992006817483,20221020,30,0,167242.31,163808.31,165482.0
