Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-10-09 00:04:00,389472.1,372490.2883201942,16981.811679805804,9238.334132633128,7743.477547172675,20221009,0,0,385106.3,385106.3,385106.3
289,2022-10-09 00:09:00,372893.29000000015,363460.892599019,9432.397400981165,9279.475921623922,152.9214793572428,20221009,1,0,376148.66,375638.06,375893.38
290,2022-10-09 00:14:00,358850.7833333333,354447.1252862874,4403.65804704593,6524.467020884668,-2120.808973838738,20221009,2,0,360444.84,357405.38,359685.66
291,2022-10-09 00:19:00,347454.4099999999,345457.4374760038,1996.9725239961408,2507.204427313349,-510.231903317208,20221009,3,0,347493.2,344834.88,346343.0
292,2022-10-09 00:24:00,335589.83,336500.2111605949,-910.3811605948722,-917.9298674704144,7.548706875542166,20221009,4,0,334784.0,333410.75,334432.84
293,2022-10-09 00:29:00,324132.1599999998,327583.77788957336,-3451.6178895735648,-2985.112498615871,-466.5053909576936,20221009,5,0,323145.8,321223.47,321404.88
294,2022-10-09 00:34:00,315140.57666666666,318716.4373156761,-3575.860649009468,-4111.072107504753,535.2114584952851,20221009,6,0,312079.75,311811.12,310728.06
295,2022-10-09 00:39:00,305528.4166666666,309906.47526289313,-4378.058596226503,-5133.324076433039,755.2654802065354,20221009,7,0,300033.84,301378.28,298780.0
296,2022-10-09 00:44:00,294544.9166666666,301162.1810912464,-6617.2644245798,-6475.014032047284,-142.25039253251634,20221009,8,0,291527.3,294548.06,290898.5
297,2022-10-09 00:49:00,284861.59999999986,292491.86396794394,-7630.263967944076,-7825.018497712343,194.7545297682664,20221009,9,0,282960.44,284913.25,282870.7
298,2022-10-09 00:54:00,274867.3866666667,283903.8678400316,-9036.481173364851,-8516.442988410816,-520.0381849540372,20221009,10,0,273999.8,276238.66,274728.94
299,2022-10-09 00:59:00,265204.5833333333,275406.5847504269,-10202.00141709356,-8241.002614789055,-1960.9988023045064,20221009,11,0,266276.56,268522.06,267263.34
300,2022-10-09 01:04:00,262450.3,267008.46641601576,-4558.166416015767,-7396.741522978623,2838.575106962856,20221009,12,0,264308.2,265100.56,265067.22
301,2022-10-09 01:09:00,251670.36000000004,258718.03361704288,-7047.673617042834,-6682.939438150026,-364.7341788928079,20221009,13,0,249171.69,253622.77,254359.06
302,2022-10-09 01:14:00,243043.2233333333,250543.88332723372,-7500.659993900452,-6448.491581563662,-1052.1684123367895,20221009,14,0,242184.05,245378.3,247015.55
303,2022-10-09 01:19:00,236196.93666666668,242494.6934052597,-6297.756738593016,-6516.809903634177,219.0531650411613,20221009,15,0,235939.89,236491.22,239679.52
304,2022-10-09 01:24:00,229511.79666666663,234579.22459442343,-5067.427927756798,-6375.070517850149,1307.642590093351,20221009,16,0,232079.7,228797.89,233184.17
305,2022-10-09 01:29:00,221252.61666666664,226806.31977428368,-5553.703107617039,-5344.133517486032,-209.5695901310064,20221009,17,0,226718.84,219862.02,224673.77
306,2022-10-09 01:34:00,213842.38333333336,219184.9003295963,-5342.516996262944,-2941.2271867772797,-2401.289809485665,20221009,18,0,222438.12,214216.12,217485.33
307,2022-10-09 01:39:00,212575.52333333337,211723.95953903935,851.5637942939939,553.3747909014091,298.1890033925847,20221009,19,0,217649.53,210449.17,212075.61
308,2022-10-09 01:44:00,210847.66666666663,204432.5529876769,6415.113678989728,4131.959891823503,2283.153787166225,20221009,20,0,213622.52,209241.58,209829.52
309,2022-10-09 01:49:00,204791.6,197319.78592289123,7471.814077108778,7000.977264381925,470.8368127268532,20221009,21,0,208093.2,204446.86,204851.23
310,2022-10-09 01:54:00,198531.3200000001,190394.7976254092,8136.522374590917,9304.143249569594,-1167.6208749786765,20221009,22,0,202089.52,198332.97,198639.02
311,2022-10-09 01:59:00,192484.84,183666.7427761285,8818.097223871504,11632.16307028265,-2814.0658464111457,20221009,23,0,198087.4,195652.78,195781.56
312,2022-10-09 02:04:00,194567.49,177144.7699447048,17422.720055295184,14088.473805068868,3334.246250226315,20221009,24,0,198044.48,193827.72,195778.08
313,2022-10-09 02:09:00,186970.0633333333,170837.99728550328,16132.066047830012,16267.340634612065,-135.2745867820522,20221009,25,0,189131.86,185180.77,186987.52
314,2022-10-09 02:14:00,182159.98000000007,164755.4855407744,17404.49445922568,17974.755695357406,-570.261236131726,20221009,26,0,183826.16,181764.23,182326.36
315,2022-10-09 02:19:00,178114.7933333333,158906.20859380683,19208.584739526472,19497.50576163356,-288.9210221070898,20221009,27,0,179013.27,179277.72,178995.36
316,2022-10-09 02:24:00,174458.7833333333,153299.02166378548,21159.76166954782,21170.0759611801,-10.314291632279492,20221009,28,0,174847.4,175538.8,176090.38
